datetime,source_ip,username,success,failure_reason
2020-01-01 00:36:52.617978,142.89.86.32,vkim,True,
2020-01-01 01:00:23.166623,5.118.187.36,kkim,True,
2020-01-01 01:31:50.779608,142.89.86.32,vkim,False,error_wrong_password
2020-01-01 01:31:51.779608,142.89.86.32,vkim,True,
2020-01-01 01:32:44.016230,15.176.178.91,kkim,True,
2020-01-01 01:39:53.792137,131.96.35.217,vkim,True,
2020-01-01 02:05:55.287218,80.56.196.222,vkim,True,
2020-01-01 02:16:35.109568,207.155.244.183,asmith,True,
2020-01-01 02:18:24.930940,131.96.35.217,vkim,True,
2020-01-01 02:19:06.700381,215.20.132.248,asmith,False,error_wrong_password
2020-01-01 02:19:07.700381,215.20.132.248,asmith,True,
2020-01-01 02:32:20.868827,142.89.86.32,vkim,True,
2020-01-01 03:06:05.697874,207.155.244.183,asmith,False,error_wrong_password
2020-01-01 03:06:06.697874,207.155.244.183,asmith,True,
2020-01-01 03:18:05.788984,207.155.244.183,asmith,True,
2020-01-01 03:18:12.116131,224.104.25.198,obrown,True,
2020-01-01 03:26:48.028836,207.155.244.183,asmith,True,
2020-01-01 03:31:48.089736,207.155.244.183,asmith,True,
2020-01-01 03:36:07.906903,224.104.25.198,obrown,True,
2020-01-01 03:54:17.942726,224.104.25.198,obrown,False,error_wrong_password
2020-01-01 03:54:18.942726,224.104.25.198,obrown,True,
2020-01-01 04:18:58.933421,1.138.149.116,osmith,True,
2020-01-01 04:38:09.966713,1.138.149.116,osmith,False,error_wrong_password
2020-01-01 04:38:10.966713,1.138.149.116,osmith,True,
2020-01-01 04:42:16.560809,1.138.149.116,osmith,True,
2020-01-01 04:44:40.490714,1.138.149.116,osmith,True,
2020-01-01 04:51:13.909123,1.138.149.116,osmith,True,
2020-01-01 05:05:12.689772,89.6.241.209,dsmith,True,
2020-01-01 05:09:07.706420,78.6.234.40,dsmith,True,
2020-01-01 05:32:37.144934,89.6.241.209,dsmith,True,
2020-01-01 05:39:06.697757,159.182.198.128,dsmith,True,
2020-01-01 06:02:54.790910,239.172.63.151,jkim,True,
2020-01-01 06:29:22.902052,96.19.200.227,jkim,True,
2020-01-01 07:11:07.977397,27.220.232.250,pkim,True,
2020-01-01 08:44:52.700685,6.112.83.253,sjones,True,
2020-01-01 09:00:39.792216,33.252.134.155,ismith,True,
2020-01-01 09:06:03.356563,93.154.130.170,ismith,True,
2020-01-01 09:08:08.620319,208.196.196.31,ismith,True,
2020-01-01 09:13:50.394669,208.196.196.31,ismith,True,
2020-01-01 09:15:54.039715,93.154.130.170,ismith,True,
2020-01-01 10:19:29.978210,27.225.181.130,ylopez,True,
2020-01-01 10:33:19.835479,27.225.181.130,ylopez,True,
2020-01-01 11:24:35.698069,110.117.47.215,jbrown,True,
2020-01-01 12:23:58.905482,63.245.107.31,cjones,True,
2020-01-01 12:30:29.819929,63.245.107.31,cjones,True,
2020-01-01 12:40:30.693222,110.117.47.215,jbrown,True,
2020-01-01 13:35:16.387764,32.219.113.203,pbrown,False,error_wrong_password
2020-01-01 13:35:17.387764,32.219.113.203,pbrown,True,
2020-01-01 13:35:24.026272,32.219.113.203,pbrown,True,
2020-01-01 15:52:03.641488,185.149.150.165,vjones,True,
2020-01-01 16:01:51.735359,185.149.150.165,vjones,True,
2020-01-01 16:15:19.294638,130.243.110.172,pkim,True,
2020-01-01 16:29:57.556380,27.220.232.250,pkim,True,
2020-01-01 16:38:20.869844,157.167.119.191,rlopez,True,
2020-01-01 16:59:32.428454,66.202.79.90,rlopez,True,
2020-01-01 17:00:42.104973,76.235.190.195,hlopez,True,
2020-01-01 17:13:24.398151,7.229.169.82,hlopez,True,
2020-01-01 17:16:11.840348,145.180.210.234,pkim,True,
2020-01-01 17:22:45.212578,66.202.79.90,rlopez,True,
2020-01-01 17:35:15.802869,66.202.79.90,rlopez,True,
2020-01-01 18:03:20.608068,234.120.182.83,ujones,True,
2020-01-01 18:11:27.312982,45.183.149.77,ujones,True,
